Track_ID,Age,Rack,Repetition,,Diet,Mito,Nuclear,Predicted_bin,Replicate,Time,x,y
0,young,10,1,count,0,0,0,0,0,47,47,47
,,,,mean,,,,,,25,10.29922101,25.02103891
,,,,std,,,,,,13.7113092,0.228216036,1.384224292
,,,,min,,,,,,2,9.983161299,23.32427694
,,,,25%,,,,,,13.5,10.05636205,23.74233041
,,,,50%,,,,,,25,10.32284234,24.82356997
,,,,75%,,,,,,36.5,10.50547346,26.12332093
,,,,max,,,,,,48,10.60321411,27.68995424
1,young,10,1,count,0,0,0,0,0,209,209,209
,,,,mean,,,,,,106,7.455220577,14.31861872
,,,,std,,,,,,60.47726846,0.055744424,6.496047578
,,,,min,,,,,,2,7.292922043,3.758307318
,,,,25%,,,,,,54,7.424997591,8.637813743
,,,,50%,,,,,,106,7.4628403,14.1195924
,,,,75%,,,,,,158,7.484836925,19.46180482
,,,,max,,,,,,210,7.609892258,26.95747095
2,young,10,1,count,0,0,0,0,0,316,316,316
,,,,mean,,,,,,159.5,8.549567938,12.2782985
,,,,std,,,,,,91.36556609,0.144447721,7.68888826
,,,,min,,,,,,2,8.037294357,2.963525588
,,,,25%,,,,,,80.75,8.480799148,4.798131693
,,,,50%,,,,,,159.5,8.557329651,11.12973603
,,,,75%,,,,,,238.25,8.646973728,18.15971724
,,,,max,,,,,,317,8.792330079,27.96062716
3,young,10,1,count,0,0,0,0,0,316,316,316
,,,,mean,,,,,,159.5,20.65546724,13.5121442
,,,,std,,,,,,91.36556609,0.323929234,7.831855725
,,,,min,,,,,,2,20.10010496,3.235893977
,,,,25%,,,,,,80.75,20.3925255,5.926657194
,,,,50%,,,,,,159.5,20.63022715,13.05101371
,,,,75%,,,,,,238.25,20.8390905,20.06922072
,,,,max,,,,,,317,21.38342095,28.68779891
4,young,10,1,count,0,0,0,0,0,313,313,313
,,,,mean,,,,,,158.0063898,16.71919889,16.58449045
,,,,std,,,,,,90.5106593,0.285941512,6.519683023
,,,,min,,,,,,2,16.14635923,5.706102257
,,,,25%,,,,,,80,16.59582967,11.02603351
,,,,50%,,,,,,158,16.78482131,16.39803723
,,,,75%,,,,,,236,16.95139925,22.00924898
