Age,Rack,Repetition,Replicate,Tube,Nuclear,Mito,Diet,Time (sec),Dy (Vertical Velocity) (px/sec),Dz (Speed),Dy (cm/sec),Mean Velocity (cm/sec),Dy,Dz
young,1,1,1,1,3,B,IV,3,102,102.313,2.92536,3.62324,d(y3-y0),d(z3-z0)
young,1,1,1,1,3,B,IV,6,114,115.117,3.26952,,d(y6-y0),d(z6-z0)
young,1,1,1,1,3,B,IV,9,100,101.272,2.868,,d(y9-y0),d(z9-z0)
young,1,1,1,2,3,B,IV,3,138,138.014,3.95784,,,
young,1,1,1,2,3,B,IV,6,58,58.31,1.66344,,,
young,1,1,1,2,3,B,IV,9,110,111.158,3.1548,,,
young,1,1,1,3,3,B,IV,3,170,170.423,4.8756,,,
young,1,1,1,3,3,B,IV,6,138,138.924,3.95784,,,
young,1,1,1,3,3,B,IV,9,104,104.019,2.98272,,,
young,1,1,1,4,3,B,IV,3,196,196.092,5.62128,,,
young,1,1,1,4,3,B,IV,6,160,160.312,4.5888,,,
young,1,1,1,4,3,B,IV,9,126,126,3.61368,,,
young,1,1,1,5,3,B,II,3,156,156.013,4.47408,2.11754,,
young,1,1,1,5,3,B,II,6,130,130.015,3.7284,,,
young,1,1,1,5,3,B,II,9,112,112.018,3.21216,,,
young,1,1,1,6,3,B,II,3,38,40.497,1.08984,,,
young,1,1,1,6,3,B,II,6,74,76.158,2.12232,,,
young,1,1,1,6,3,B,II,9,-28,33.287,-0.80304,,,
young,1,1,1,7,3,B,II,3,52,52.038,1.49136,,,
young,1,1,1,7,3,B,II,6,30,31.623,0.8604,,,
young,1,1,1,7,3,B,II,9,-122,122.066,-3.49896,,,
young,1,1,1,8,3,B,II,3,158,158.114,4.53144,,,
young,1,1,1,8,3,B,II,6,162,162.197,4.64616,,,
young,1,1,1,8,3,B,II,9,124,124.145,3.55632,,,
young,1,1,1,9,3,B,V,3,-4,12.649,-0.11472,3.51808,,
young,1,1,1,9,3,B,V,6,58,58.31,1.66344,,,
young,1,1,1,9,3,B,V,9,172,172.012,4.93296,,,
young,1,1,1,10,3,B,V,3,120,120.416,3.4416,,,
young,1,1,1,10,3,B,V,6,94,95.708,2.69592,,,
young,1,1,1,10,3,B,V,9,128,128.141,3.67104,,,
young,1,1,1,11,3,B,V,3,185,185.607,5.3058,,,
young,1,1,1,11,3,B,V,6,159,159.113,4.56012,,,
young,1,1,1,11,3,B,V,9,118,118.004,3.38424,,,
young,1,1,1,12,3,B,V,3,219,219.146,6.28092,,,
young,1,1,1,12,3,B,V,6,114,114.11,3.26952,,,
young,1,1,1,12,3,B,V,9,109,109.225,3.12612,,,
young,1,1,1,13,3,C,IV,3,116,118.258,3.32688,2.81542,,
young,1,1,1,13,3,C,IV,6,138,138.004,3.95784,,,
young,1,1,1,13,3,C,IV,9,144,144.014,4.12992,,,
young,1,1,1,14,3,C,IV,3,123,123.685,3.52764,,,
young,1,1,1,14,3,C,IV,6,71,72.567,2.03628,,,
young,1,1,1,14,3,C,IV,9,154,154.935,4.41672,,,
young,1,1,1,15,3,C,IV,3,96,96.876,2.75328,,,
young,1,1,1,15,3,C,IV,6,-103,103.238,-2.95404,,,
young,1,1,1,15,3,C,IV,9,64,64.031,1.83552,,,
young,1,1,1,16,3,C,IV,3,168,168.048,4.81824,,,
young,1,1,1,16,3,C,IV,6,155,155.322,4.4454,,,
young,1,1,1,16,3,C,IV,9,52,52.038,1.49136,,,
young,1,1,1,17,3,C,II,3,95,95.084,2.7246,2.30874,,
young,1,1,1,17,3,C,II,6,8,18.788,0.22944,,,
young,1,1,1,17,3,C,II,9,-97,97.005,-2.78196,,,
young,1,1,1,18,3,C,II,3,8,19.698,0.22944,,,
young,1,1,1,18,3,C,II,6,123,123.102,3.52764,,,
young,1,1,1,18,3,C,II,9,-40,41.231,-1.1472,,,
young,1,1,1,19,3,C,II,3,142,142.014,4.07256,,,
young,1,1,1,19,3,C,II,6,115,115.213,3.2982,,,
young,1,1,1,19,3,C,II,9,89,89.805,2.55252,,,
young,1,1,1,20,3,C,II,3,213,213.009,6.10884,,,
young,1,1,1,20,3,C,II,6,151,151.003,4.33068,,,
young,1,1,1,20,3,C,II,9,159,159.028,4.56012,,,
young,1,1,1,21,3,C,V,3,118,118.343,3.38424,3.43443,,
young,1,1,1,21,3,C,V,6,152,152.118,4.35936,,,
young,1,1,1,21,3,C,V,9,126,126.016,3.61368,,,
young,1,1,1,22,3,C,V,3,62,62.008,1.77816,,,
young,1,1,1,22,3,C,V,6,53,53.009,1.52004,,,
young,1,1,1,22,3,C,V,9,29,29.017,0.83172,,,
young,1,1,1,23,3,C,V,3,254,254.126,7.28472,,,
young,1,1,1,23,3,C,V,6,162,162.049,4.64616,,,
