Age,Rack,Repetition,Replicate,Tube,Nuclear,Mito,Diet,Time (sec),x,y,Dy_abs,veloscaled
young,1,1,1,1,3,B,IV,0,70,1028,,
young,1,1,1,1,3,B,IV,3,78,926,34,0.97512
young,1,1,1,1,3,B,IV,6,94,812,36,1.03248
young,1,1,1,1,3,B,IV,9,78,712,35.11111111,1.006986667
young,1,1,1,2,3,B,IV,0,122,1068,,
young,1,1,1,2,3,B,IV,3,120,930,46,1.31928
young,1,1,1,2,3,B,IV,6,114,872,32.66666667,0.93688
young,1,1,1,2,3,B,IV,9,130,762,34,0.97512
young,1,1,1,3,3,B,IV,0,134,1068,,
young,1,1,1,3,3,B,IV,3,146,898,56.66666667,1.6252
young,1,1,1,3,3,B,IV,6,162,760,51.33333333,1.47224
young,1,1,1,3,3,B,IV,9,160,656,45.77777778,1.312906667
young,1,1,1,4,3,B,IV,0,190,976,,
young,1,1,1,4,3,B,IV,3,196,780,65.33333333,1.87376
young,1,1,1,4,3,B,IV,6,206,620,59.33333333,1.70168
young,1,1,1,4,3,B,IV,9,206,494,53.55555556,1.535973333
young,1,1,1,5,3,B,II,0,232,1088,,
young,1,1,1,5,3,B,II,3,234,932,52,1.49136
young,1,1,1,5,3,B,II,6,232,802,47.66666667,1.36708
young,1,1,1,5,3,B,II,9,234,690,44.22222222,1.268293333
young,1,1,1,6,3,B,II,0,252,1072,,
young,1,1,1,6,3,B,II,3,266,1034,12.66666667,0.36328
young,1,1,1,6,3,B,II,6,284,960,18.66666667,0.53536
young,1,1,1,6,3,B,II,9,266,988,9.333333333,0.26768
young,1,1,1,7,3,B,II,0,296,1046,,
young,1,1,1,7,3,B,II,3,298,994,17.33333333,0.49712
young,1,1,1,7,3,B,II,6,288,964,13.66666667,0.39196
young,1,1,1,7,3,B,II,9,292,1086,-4.444444444,-0.127466667
young,1,1,1,8,3,B,II,0,320,1074,,
young,1,1,1,8,3,B,II,3,326,916,52.66666667,1.51048
young,1,1,1,8,3,B,II,6,334,754,53.33333333,1.5296
young,1,1,1,8,3,B,II,9,340,630,49.33333333,1.41488
young,1,1,1,9,3,B,V,0,356,1076,,
young,1,1,1,9,3,B,V,3,368,1080,-1.333333333,-0.03824
young,1,1,1,9,3,B,V,6,374,1022,9,0.25812
young,1,1,1,9,3,B,V,9,372,850,25.11111111,0.720186667
young,1,1,1,10,3,B,V,0,406,1000,,
young,1,1,1,10,3,B,V,3,416,880,40,1.1472
young,1,1,1,10,3,B,V,6,398,786,35.66666667,1.02292
young,1,1,1,10,3,B,V,9,404,658,38,1.08984
young,1,1,1,11,3,B,V,0,432,1008,,
young,1,1,1,11,3,B,V,3,447,823,61.66666667,1.7686
young,1,1,1,11,3,B,V,6,453,664,57.33333333,1.64432
young,1,1,1,11,3,B,V,9,452,546,51.33333333,1.47224
young,1,1,1,12,3,B,V,0,474,1096,,
young,1,1,1,12,3,B,V,3,482,877,73,2.09364
young,1,1,1,12,3,B,V,6,487,763,55.5,1.59174
young,1,1,1,12,3,B,V,9,480,654,49.11111111,1.408506667
young,1,1,1,13,3,C,IV,0,495,1028,,
young,1,1,1,13,3,C,IV,3,518,912,38.66666667,1.10896
young,1,1,1,13,3,C,IV,6,519,774,42.33333333,1.21412
young,1,1,1,13,3,C,IV,9,521,630,44.22222222,1.268293333
young,1,1,1,14,3,C,IV,0,545,1082,,
young,1,1,1,14,3,C,IV,3,558,959,41,1.17588
young,1,1,1,14,3,C,IV,6,543,888,32.33333333,0.92732
young,1,1,1,14,3,C,IV,9,560,734,38.66666667,1.10896
young,1,1,1,15,3,C,IV,0,569,1076,,
young,1,1,1,15,3,C,IV,3,582,980,32,0.91776
young,1,1,1,15,3,C,IV,6,589,1083,-1.166666667,-0.03346
young,1,1,1,15,3,C,IV,9,591,1019,6.333333333,0.18164
young,1,1,1,16,3,C,IV,0,627,1047,,
young,1,1,1,16,3,C,IV,3,623,879,56,1.60608
young,1,1,1,16,3,C,IV,6,613,724,53.83333333,1.54394
young,1,1,1,16,3,C,IV,9,611,672,41.66666667,1.195
young,1,1,1,17,3,C,II,0,657,1088,,
young,1,1,1,17,3,C,II,3,661,993,31.66666667,0.9082
young,1,1,1,17,3,C,II,6,644,985,17.16666667,0.49234
young,1,1,1,17,3,C,II,9,645,1082,0.666666667,0.01912
young,1,1,1,18,3,C,II,0,680,1082,,
young,1,1,1,18,3,C,II,3,698,1074,2.666666667,0.07648
young,1,1,1,18,3,C,II,6,693,951,21.83333333,0.62618
young,1,1,1,18,3,C,II,9,683,991,10.11111111,0.289986667
young,1,1,1,19,3,C,II,0,722,1022,,
young,1,1,1,19,3,C,II,3,724,880,47.33333333,1.35752
young,1,1,1,19,3,C,II,6,731,765,42.83333333,1.22846
